Video ID,Comment,Toxicity,Type,target
qej8hvq2lZo,"المشكلة كلها من ادارة النادي، لا بتجيب لعيبة صح، لا بتجيب مدرب صح، لا يوجد اهتمام بالنادي، لا يوجد أسماء، لا يوجد انسجام بين المدافعين، لا يوجد انسجام بين خط الوسط وخط الدفاع، جلوري قالها قبل سنة أو سنتين، الفريق يلزمه اعادة تنظيف كاملة من المدرب الى أصغر لاعب
خوفي السنة الجاية ما يتأهلون لدوري الأبطال، الوضع ما يبشر بالخير أبد",0,,
NWsNVfHsuF0,السعودية قول وفعل,0,,
EF9RniqmCzM,انا مدريد لا مب رضي,0,,
u8Y9W0rFGZU,يعني البايرن هاتك عرض ناديك بالثمانية وتشجعهم ضد الريال اللي نتايجكم متقاربة تاريخيا لهالدرجة حارقك,1,2,1
qej8hvq2lZo,ماقلت ماقلت,0,,
u8Y9W0rFGZU,يقول مااصدق حسب بلنتي على مدريد ونسى نهائي البرثا مع تشيلسي ٤بلنتيات لتشيلسي لم يتم احتسابها  فضيحه تحكيميه وسرقه لكأس الشامبيونز بس البرثاويه مايعرفون الحق,0,,
qej8hvq2lZo,شحني  وفي فريق لاقم  وش اسمه؟,1,1,1
qej8hvq2lZo,القوم بس وانت ساكت,1,1,1
u8Y9W0rFGZU,انبح انبح ستورياتك مال الانستا بس تنبح بيه حاطيك اني وجماعتي ونضحك على عقلك مال الجهال شبيك ويه سنان ليش حظرته لان طلعك انت الداعر,1,2,1
qej8hvq2lZo,"اليونايتد يلقم 
جلوري  ايش قلت لكم",0,,
qej8hvq2lZo,المقطع عبارة عن بالله وش هاذا الفريق,0,,
qej8hvq2lZo,إِنَّ ٱللَّهَ وَمَلَٰٓئِكَتَهُۥ يُصَلُّونَ عَلَى ٱلنَّبِىِّ ۚ يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ صَلُّواْ عَلَيْهِ وَسَلِّمُواْ تَسْلِيمًا,0,,
u8Y9W0rFGZU,لامتى تجلس تلبس فنايل اي فريق يلعب ضد الريال نسيت انه لجمك هاذا الفريق  ياضئيل,1,1,1
gvURpU4zGuQ,العرب لحد الان مش معروف اصلهم  الإنسان في كل مكان مختلف عليه وكل رويات كذب,0,,
EF9RniqmCzM,اسكت بس لول برشلونه لعب نفس لعبو نفس لعب مدريد حالين كان قلت و فعلت و بتاذين بس الاعتراف صعب,0,,
qej8hvq2lZo,ه الكم,1,1,1
NWsNVfHsuF0,الف مبروك الفوز آلسعوديه من عمان,0,,
NWsNVfHsuF0,اجمل مباراه فالكم الخير الجميع,0,,
u8Y9W0rFGZU,والله انك أقذر يوتيوبر في التاريخ، خلاص اعتزل ياخي,1,2,1
qej8hvq2lZo,خل هياطك ف بداية المباراه يفيدك ابلع,1,1,1
qej8hvq2lZo,ه تتذكر يوم طقطق على برشلونة يوم خسر من البايرن هيا القم,1,1,1
qej8hvq2lZo,يوم كان معكم مورينيو ٣ بطولات مع لاعبين عاهات من غير نهائي الدوري الأوروبي و نص الفريق إصابات مورينيو انظلم من إدارة يونايتد و الجماهير,1,1,1
qej8hvq2lZo,والله اني ماني داخل الا عشان السب,0,,
NWsNVfHsuF0,السعودي  كمك العراق   العراق,0,,
EF9RniqmCzM,ابلع اكول,1,1,1
qej8hvq2lZo,خلطوكم خلط,1,1,1
NWsNVfHsuF0,مبروك للمنتخب السعودي كبير اسيا الفوز على العراق,0,,
qej8hvq2lZo,والله متت ضحك لانك كنت تهاييط اول الفيديو و بعدين لقمت,1,1,1
qej8hvq2lZo,جماهير برشلونة  شتقصد حبي,0,,
u8Y9W0rFGZU,فين كرامتك يا بلا كرامة,0,,
qej8hvq2lZo,ارنولد انجليزي,0,,
NWsNVfHsuF0,اهم شي طلعنا هنود الرافدين,1,1,2
u8Y9W0rFGZU,هؤلاء ذرية الكفار كاذبون ماكرون  علينا حذف الحساب ليس من المناسب للأشخاص الماكرين أن يعيشوا في هذا العالم,1,2,4
qej8hvq2lZo,وابلع دس لايك بعد,1,1,1
qej8hvq2lZo,ھ   هہَ ة    هہَ ة    ه  القم,0,,
qej8hvq2lZo,التصحيح ليفربول عندو ألكسندر أرنولد الانجليزي ضهير,0,,
qej8hvq2lZo,والله من جد لا تشجع هذا الفريق الخره,1,1,1
qej8hvq2lZo,حتندم ياجميل,0,,
u8Y9W0rFGZU,نعيمي فاشل بيتنا اكبر من بلادك يالزق مب حظ ع الاقل مب مهرجين نفسك كل يوم فريق,1,1,1
qej8hvq2lZo,الحمد للهةعلى نعمة برشلونه ه,0,,
EF9RniqmCzM,انت صدقت خلاي فريقك فاز ٥ يعني خلاص بطل العالم يا حبيبي كلها فترة و تعرف حجم فريقكم اله خلني ساكت,0,,
u8Y9W0rFGZU,عرفت النعيمي ٢٠١٥ يمكن او ٢٠١٦ وحنا دخلنا ٢٠٢٤ وللآن وهو يصيح ماشاء الله عليه استمراريه تدرّس استمر ياقوت الصياح,1,1,1
qej8hvq2lZo,ابلعوا فريق جيس حب,1,1,1
NWsNVfHsuF0,من قلب العراق   الف مليون مبروك للسعودية يستاهلون ومبروك للكويت الحبيبه ونحنو  مسلمين عرب خليجين ولاكن السياسة تحب تفرقنا  وعاش العراق صدام حسين العراقي كان يحب الشعب السعودي الابي باذن الله مثل انبطحت إيران امام العراقيين سنه  سوفا تنبطح من جديد امام العراق و السعودية قريبا,0,,
u8Y9W0rFGZU,يا ناعور انت فايزين عل برشلونه,1,2,1
qej8hvq2lZo,احلى صدفة قدمت المقطع و دخلني على لقطة البداية ه,0,,
qej8hvq2lZo,و اليوم رونالدو سجل هاتريك,0,,
NWsNVfHsuF0,عيني علا راسكم العراق حتا  ما فازو عليكم  بس  كملوها يا العراق,0,,
qej8hvq2lZo,اللهم صل وسلم على سيدنا محمد وعلى آله وصحبه أجمعين,0,,
qej8hvq2lZo,ما امدا يفرح الا اجا الرد,0,,
qej8hvq2lZo,رسميا فرحه جلوري رده فعله علي صفقه الموسم أليكس تيليس,0,,
qej8hvq2lZo,"والله ماتنلام
الحمدلله أني مدريدي",0,,
oeNHYAiggks,"انا فان باور بس هذه لي  يهدد هذول مهووسين  ثاني اسمعه باور مو بور و اذا ما تحبه لا تتكلم عيالهم
ما احد جبرك تابعهم ثاني اكل واحد و هو حر مو تجبرون على شي ما يبه و بس

بعدين شف محتوك على اقل هم  تحدي انت محتوك سالبي",0,,
qej8hvq2lZo,انت تقول مافي الا هندرسون انجليزي وين ارنولد,0,,
NWsNVfHsuF0,ألف ألف ألف مليون مبروك الفوز للأخضر السعودي مبروك لكل سعودي ومأزر للأخضر من كل الجنسيات وهاردلك للعراقين وينه يونس محمود ياترا لواعتضر على الاقل تسلم من لوم للعراقين,0,,
qej8hvq2lZo,مت  وله اني انفجعت فجعة,0,,
EF9RniqmCzM,دايما بتعيط كل اشي بصير وما بيعجك تحكيم,1,1,1
NWsNVfHsuF0,من اليمن مبروك للمنتخب السعودي وهدرك  يامنتخب الشقيق العراقي,0,,
qej8hvq2lZo,ابلع بس أنت وفريقك,1,1,1
qej8hvq2lZo,ه الدب مسوي زعلان,1,1,1
qej8hvq2lZo,والله الله يعينكم هذي بدايته الموسم,0,,
NWsNVfHsuF0,الف مبروك لكبار اسيا,0,,
u8Y9W0rFGZU,اقذر شخص بهذا العالم هو انتريال داعس عليك وعلى كبيرك برنابيو امبر من دولتك يا سافل,1,2,1
u8Y9W0rFGZU,اتقي الله في نفسك ولا تقول نجس ولا ياويلك,0,,
qej8hvq2lZo,"شوف الفرحة  

بعد  دقايق  

  صدمه كبيره ويل قلبي",0,,
NWsNVfHsuF0,السعودية هتكت عرض العراق بلد تيسير ه,0,,
qej8hvq2lZo,القم يا بت,1,1,1
NWsNVfHsuF0,يونس يا تيس وينك تعال كسرنا عينك,1,2,1
oeNHYAiggks,استمر علاء  مابعرف ليش لما تضحك مسخرة عالناس بضحك معك مع انك بتضحك,0,,
u8Y9W0rFGZU,جماهير الريال المفروض تلغون المتابعة من هل الانسان القذر انسان غير محترم ولا يحترم جماهير الملكي الي معي لايك حته يصعد التعليق ونعمل ان فولو,1,1,1
qej8hvq2lZo,والله شخلوهم شخل,1,1,1
qej8hvq2lZo,الله يكون في عونك,0,,
qej8hvq2lZo,الي جاي من التف توك,0,,
NWsNVfHsuF0,ما نفعهم العباس,1,1,4
qej8hvq2lZo,ابلع بس,1,1,1
qej8hvq2lZo,القم يعلمكم انا الله حق تمسخروو على البارسا القم,1,1,1
qej8hvq2lZo,"الفيديو
 بالمية مدح ببرونو
 بالمية شتم ماجواير
 بالمية شتم سولشاير
 بالمية شتم اليونايتد",0,,
NWsNVfHsuF0,من العراق  الف مبروك الفوز للدولة الشقيقة السعودية,0,,
u8Y9W0rFGZU,يزم برشلوني مقرف كيف طلعت قدامي مش فاهم,1,1,1
qej8hvq2lZo,القم بس لا تصيح,1,1,1
qej8hvq2lZo,انا اشجع توتنهام القم ستة,1,1,1
qej8hvq2lZo,الحمار الطموح,1,1,1
NWsNVfHsuF0,معلق فاشل خرب المباراه وين العتيبي,1,1,1
u8Y9W0rFGZU,"نعيمي ضعيف شخصية يشجع الفريق الي فاز عليه  
وين الانتماء",1,1,1
qej8hvq2lZo,كنت انتظر في من امس,0,,
u8Y9W0rFGZU,لك ها حيوان تحجي عالعراق,1,1,1
qej8hvq2lZo,"سلام عليكم، خواني انه محمد من العراق، 
يتيم وعندي خواني  حلمي،ان افرحهم ابكله او ملبس الهم


حلمي ان توصلوني  مشترك هوة فقط تشترك",0,,
u8Y9W0rFGZU,والله ياعم انت مبتفهم كورة ولا ليك فيهاا بتصيح بس الريال دايس عليك ياهطل ودايس على الكل,1,1,1
qej8hvq2lZo,ه ثلاجه,0,,
NWsNVfHsuF0,مبروك فوز الحكم الروماني على منتخب العراق,0,,
u8Y9W0rFGZU,صياحك متعتنا,1,1,1
qej8hvq2lZo,شجابك ع يونايتد هــه وين اكو واحد يشجع يونايتد,0,,
qej8hvq2lZo,لا يا قلوري الهدف الاول كله من ماقةير اغلا ديفاع بالعالم والله حرام,0,,
NWsNVfHsuF0,ماكتلني غير هذا السعودي الاملط الي چان بالاولمبي السعودي خلينا خارج التغطيه صاير ابو ضرطه رونالدو,1,2,1
u8Y9W0rFGZU,انت شخص بدون كرامه تشجع فريق زنا فيك بالملعب,1,2,1
u8Y9W0rFGZU,السخيف والكريه عبدالله النعيمي يع,1,1,1
NWsNVfHsuF0,سامبا الخليج ف انتظاركم المنتخب السعودي اخوكم من عمان,0,,
NWsNVfHsuF0,سالم افضل لاعب بأسيا,0,,
u8Y9W0rFGZU,انت اقذر واوسخ بني ادم موجود ع كرة الارضية وبايخ  وكل مرة احطك فير مهتم وترجع تطلعلي,1,2,1
qej8hvq2lZo,سون ياقليل الادب,1,1,1
qej8hvq2lZo,وجعع ھہ,0,,
qej8hvq2lZo,كش ما انشوف شني المن ناشر الفيديو الله يلعن الفيديو,1,1,1
qej8hvq2lZo,هاتوا الي بعدو الكم انت والشياطين الخضر,1,1,1
NWsNVfHsuF0,السعودية كانت ستخسر أمام العراق ولكن يونس محمود أخرج المارد الاخضر ه ه بالروح بالدم نفديكم يا رجال ال سعود,0,,
qej8hvq2lZo,معذور ياقلبي معذور أهم شي الصحه,0,,
u8Y9W0rFGZU,يحلف بالله سلكان وتمريرة كروس شقت الدفع شق تحلف كذب ما تستحي,0,,
NWsNVfHsuF0,"انها رياضهايها الاحبه
الفائز نقول له مبارك
الخاسر نقول لهحظ اوفر",0,,
u8Y9W0rFGZU,القناة أصبحت فارغة المحتوى,0,,
u8Y9W0rFGZU,اذا في حدا نجس هو انتا ياعبدالله,1,1,1
qej8hvq2lZo,القم ه,1,1,1
NWsNVfHsuF0,"لا تتكلم على كبير يا يونس وانت صغير هذا هو علمك حجمك الطبيعي
يلا تكبر وتعلم",1,1,1
u8Y9W0rFGZU,والله البرشلوني يثبت يوم عن يوم إن حقده على الريال يعمي عيونه لدرجة إن ولا مرة ينصف الريال وأكثر كلمة يرددوها حظ حظ,0,,
u8Y9W0rFGZU,الحمد لله انته ما تشجع مدريد لان ابد ما تنهضم ولا تنبلع,0,,
oeNHYAiggks,"الفانزات دائما هنن يلي بجيبو كل المشاكل وبكبرو القصص كتير
شكرا  لايك",0,,
qej8hvq2lZo,بالتوفيق يا اسطورة,0,,
qej8hvq2lZo,جلوري مو بس هنديرسون ارنولد كمان,0,,
NWsNVfHsuF0,مبروك اللاخضر وهاردلك لنا اخوكم من العراق,0,,
EF9RniqmCzM,اكل خره ريال عمك,1,1,1
NWsNVfHsuF0,الف مليون مبروك للمنتخب السعودي والشعب السعودي العظيم,0,,
qej8hvq2lZo,القم بس القم,1,1,1
qej8hvq2lZo,احلى شي بالمقطع يبو راس مربع,1,1,1
EF9RniqmCzM,عبدالله النعيمي كل موسم تحجي عل مدريد ويسكتوك  بتفوقهم,0,,
NWsNVfHsuF0,حفظ الله السعوديه نصرها دايما,0,,
u8Y9W0rFGZU,حظ؟  نباحك طرب,1,1,1
u8Y9W0rFGZU,"صح والله معك حق المبارة بدايتها كانت مملة جدا ايام برشلونة كانت قمة المتعة والشوط الاول خلص  
الله ياخدك متل ما اخد منك كرامتك يا مقــرف فريق اغتــصـب فريقك ب  اهداف وعم تشجعو
قمة الدنائة والذل وانعدام الكرامة",0,,
NWsNVfHsuF0,العراق خرا اني سعودي,1,1,1
qej8hvq2lZo,و الله لو تجيب رونالدو و مدربك سولشاير بتبلع,1,1,1
qej8hvq2lZo,أستغفر الله,0,,
qej8hvq2lZo,الدب الي يشجع اليونايتد,1,2,1
NWsNVfHsuF0,ألف مبروك للسعودية وهاردلك منتخبنا,0,,
qej8hvq2lZo,غير الفريق الخايس بس انك تغير فريقك صعبه الله يعينك,0,,
qej8hvq2lZo,الله يعينك على اليونايتيد,0,,
qej8hvq2lZo,القم  ابلع بتستاهل خليك تخوت عبرشلونة وانتو ولا ربع كندرتهم لبرشلونة,1,1,1
qej8hvq2lZo,من الظهر انتظر المقطع ينزل,0,,
EF9RniqmCzM,رح نمسح بيكم الارض,1,1,1
u8Y9W0rFGZU,مدريد كل سنة يأدب هالطفل,1,1,1
qej8hvq2lZo,ماشفت شي اش السالفة,0,,
qej8hvq2lZo,انا إذ انجلت في فرتنايت وباقي اثنين في القيم,0,,
NWsNVfHsuF0,الف مبروك يا سعودي,0,,
qej8hvq2lZo,ماجواير بره النادي,0,,
qej8hvq2lZo,"لعبة اليونايتد مع باريس في دوري الأبطال لوك شاوماجوايربيساكا
ضد نيمارمبابيديماريا

يقولك عادل أمام سيغمى عليه من ورى المسرحيه التي ستحدث",0,,
u8Y9W0rFGZU,انجس يوتيوبر بلعالم,1,2,1
qej8hvq2lZo,ابلع ٦,1,1,1
EF9RniqmCzM,وباخير اقول صياحك طرب,1,1,1
qej8hvq2lZo,لو شفت الهدف السادس كان انفجرت,0,,
qej8hvq2lZo,ه اليونايتد يستاهل,0,,
u8Y9W0rFGZU,انت فاشل والله يعني فاز الريال خلاص اسكت اسكت من يتابعك انت,1,1,1
qej8hvq2lZo,انا اكثر شي ضحكني لمن قال الي بعدو,0,,
u8Y9W0rFGZU,شخص زباله وابد مو رياضي,1,2,1
EF9RniqmCzM,ريال مدريد ماشي عالبركه كنت تقدر تقولها فالمقطع لكن كاتبنها فالعنوان عسب المشاهدات,0,,
qej8hvq2lZo,"شباب ليحبون ببجي اتمني تشوفو فيديوهاتك و تدعموني والله اني محترف
اتمني الدعم والله يستر كل من يدعمني",0,,
EF9RniqmCzM,اركب عليه بس,1,2,1
qej8hvq2lZo,القم ي وضيع تطقطق على السيتي هاه ه,1,1,1
qej8hvq2lZo,ابو راس مربع,1,1,1
u8Y9W0rFGZU,"كيف الحال

فزنا في كأس الخليج  تتذكر اقصاء البحرين من عمان؟ 

انتقام من العراق لمن فزتو بركلات ترجيح 

تحية من العراق للبحرين 
حق كل واحد استهزئ بالعراق 
اعرف مكانتك جدام العراق
اسد على نفسك مو العراقيين",0,,
u8Y9W0rFGZU,ياخي انت ازبل مشجع برشلوني و ماكو فد شي اسمه حظ يا فاشل,1,1,1
NWsNVfHsuF0,شبيهم جماعة الرضاع الكبير مفلفلين إن شاء الله القادم أجمل للعراق ونعوض من رحم المعآناة يولد العظماء وراح يرجع العراق ونرجع نكسر خشمكم,1,1,1
qej8hvq2lZo,الي جاي عشان اللقطه هذي,0,,
u8Y9W0rFGZU,كما عودتنا على ردة فعلك ميا سان ميا ه,0,,
qej8hvq2lZo,ما دري متى يصلح خال فريقنا,0,,
qej8hvq2lZo,"قال   إن اللعانين لايكونون  شهداء ولا شفعاء 
يوم القيامة رواه مسلم",0,,
NWsNVfHsuF0,يونس جالس يندب حظه ولسان حاله يقول ليتني ماضحكت ضحكتي نكبت العراق ودته في ٦٠ داهيه,0,,
qej8hvq2lZo,إِنَّ اللَّهَ وَمَلائِكَتَهُ يُصَلُّونَ عَلَى النَّبِيِّ يَا أَيُّهَا الَّذِينَ آمَنُوا صَلُّوا عَلَيْهِ وَسَلِّمُوا تَسْلِيمًا,0,,
NWsNVfHsuF0,لكل عراقي القم ٣,1,1,1
qej8hvq2lZo,"اليونايتد جابولي ضغط  بموت من سبة هذا الفريق
تعديل دفاع سيء هجوم يعرفون
تعديل  جلوري اذا فزنا في أوروبا لك ١٠ دولار لاني ادري ان اليونايتد بيخسر المركز الاخير",0,,
oeNHYAiggks,احمد شو معهم صح ؟,0,,
qej8hvq2lZo,اي والله صحتاك احسن من الموبرا,0,,
EF9RniqmCzM,هذا هو سيء ومتصدر فما بالك اذا كان في مستواه الله يعينك بس شكلك وايد شال عالريال ه,0,,
gvURpU4zGuQ,روح ارعى لك غنم بدوي ويتكلم عن اليمن,1,1,1
NWsNVfHsuF0,عير بنص السعوديه,1,2,1
EF9RniqmCzM,"بدأ نباح نعيمي 
ولك  جا ملك الميمز و اسطورة جحشلونة النعيمي",1,1,1
qej8hvq2lZo,خلطوهم الجماعه خلط,1,1,1
qej8hvq2lZo,"اش دخل ميسي 
 عادي الانتقاد دائما على الافضل",0,,
qej8hvq2lZo,ليش ما بتغيير فريقك,0,,
qej8hvq2lZo,القم يا جلوري,1,1,1
u8Y9W0rFGZU,الفريق الوحيد الي يخوفني في البيرنابيو البايرن ماتغرك المباره دي يامدريدي خصمنا الوحيد الي يتجرأ ينزنلنا من الابطال في بيرنابيو,0,,
NWsNVfHsuF0,"كضو العراق علمو الطوبه 
العراق ضالين بس ستوريات  وهوبزه",0,,
u8Y9W0rFGZU,وين ردة فعل الاربعه,0,,
NWsNVfHsuF0,الف مبروك سعوديه,0,,
qej8hvq2lZo,وايش ذنب سته,0,,
u8Y9W0rFGZU,"كمية الذل في المشجع البرشلوني مو طبيعة 
مين يتفق معي",0,,
qej8hvq2lZo,القم عشان ماتهايط على برشلونة ٦١,1,1,1
NWsNVfHsuF0,يااخوه شي تلاحظو على سالم الدويسري ان فيه غرور كثير,0,,
NWsNVfHsuF0,"المعلق صوته مزعج مزعج مزعج 
يا ساتر على هذا الازعاج 
معلق أبو ريالين",0,,
u8Y9W0rFGZU,البافاري يسامح وعبسي مستحيل يسامح دفاع بارين,0,,
qej8hvq2lZo,ارنولد يصيح في الزاوية,0,,
gvURpU4zGuQ,السعوديه اصل العرب والزيود مالهم اصل,1,2,2
qej8hvq2lZo,حبيبي جلوري عدهم ارنولد انكليزي مو بس هندرسون وهموا من الركاز الساسيه بل فريق,0,,
u8Y9W0rFGZU,يعجبني ريال عندما يحسن تربية اشباه المشجعين يجعلك حتى فريقك يفوز لكن طعم الفوز لا تستطعمه,0,,
qej8hvq2lZo,والله العظيم من حقك ما تكمل المباراة انا مدريدي و ما اتابع مباريات مانشستر يونايتد هذي يمكن اول مباراة اتابعها و انجلطت,0,,
gvURpU4zGuQ,"جالسين يدورو علا اصلهم قليلين الاصل 
لا نتشرف في الخليج المتصهين بان يكون عرب",1,2,2
u8Y9W0rFGZU,يعني لا كرامه ولا شرف ولا اخلاق يلعن ام الجابتك اعرف مكانتك جدام البحرين يلعن ابوك لا ابو البحرين بزبي,1,2,1
qej8hvq2lZo,ابلع ستة وفي ملعبكم  برشلوني متشمت,1,1,1
EF9RniqmCzM,ه كلام غبي مثلك ه البارصا أول   جولات مثل الخرا ه عملو جولة واحدة حلوة صارو ابطال يا ه على نفاق لا تنسى الريال ٢ من أحسن لعيبة رباط صليبي وبعودة فينسيوس سنرى مدريد ديما وغغللك فلحنجرة,1,1,1
EF9RniqmCzM,مين علمك ع كرة القدم روح تابع كره سلة احسنلك واتركك من التحليل يلي انت بعيد عنه وما تعرف شو تتكلم,0,,
qej8hvq2lZo,الفرحة الي اللة يحرمنا منها,0,,
u8Y9W0rFGZU,هلا تحكيم,0,,
NWsNVfHsuF0,ها قنادر آلسعوديه انتو تحجون مثل الجلب احنه أنكص إلسانكم ينادر نعوله خياس من أدخل للسعوديه اشم ريحه خايسه انعل أبوكم لأب الملكى ها يونس أب ن الكندره ابن الحرام ابن الجلاب انعل أبوكم لأبو الخلكم احنه أنعامكم نعوله,1,2,1
EF9RniqmCzM,اليوم تمدحون برشلونه  بعد ما تصير زحمة المباريات  راح تسبون لين تهلكون ه والريال بطل الدوري,0,,
NWsNVfHsuF0,مصطفى يونس كيف الحال  أقرب صيدليه وخذ لك مهدئات ه,0,,
qej8hvq2lZo,اللهم صل وسلم على سيدنا محمد وعلى آله وصحبه أجمعين,0,,
qej8hvq2lZo,المقطع عبارة عن سب,0,,
u8Y9W0rFGZU,الاعتراف ليس عيب اعترف ان مدريد عمك,1,1,1
NWsNVfHsuF0,"اولا مبروك للمنتخب السعودي 
ثانيا منتخبنا العراقي الاداء بهذي البطولة تلوث بصري الصراحة 
ثالثا الجمهور والإتحاد بطلو سالفة التقليل من الخصم لان بالنهاية تاكلوها وتصيرون مضحكة امة محمد  
وسلامي  لجمع الاخوة والاشقاء  العرب",0,,
u8Y9W0rFGZU,اقسم بالله اغث انسان بالعالم,1,1,1
qej8hvq2lZo,سوي ردة فعلك على مباراة ليفربول عشان تغير جوك,0,,
qej8hvq2lZo,لا تزعل يا عبد العزيز انتو مثل برشلونة يمكن بعد هذه المباراة تتصلح كلشي,0,,
qej8hvq2lZo,احلا اشي انو متحمس باول الفيديو,0,,
qej8hvq2lZo,ياعيال وربي يوم قال زق ولد زق انت عباره عن خرا متت ضحك,1,1,1
u8Y9W0rFGZU,صياحكم طرب ، يكرهون الريال اكثر من حبهم لفريقهم,1,1,1
u8Y9W0rFGZU,اختك عل اخت تشجيعك المقرف,1,1,1
qej8hvq2lZo,بو راص مربعة,1,1,1
EF9RniqmCzM,بركا مين بلينكهام عمك ريال عمك وعم عيالك ياهطف شبي نس ليك لم تحققها برصا موند زمان يالهطف,1,1,1
qej8hvq2lZo,والله يا قلوري انك ضربت ليفربول لقمو ٧,0,,
qej8hvq2lZo,سبحان الله مغير الحوال كان يضحك على برشلونه ضد باير شوف كيف عصب ضد توتنهام,0,,
qej8hvq2lZo,٧١٨ ه ه ه ه,0,,
qej8hvq2lZo,جلوري عشاتك ماكملت المبراة عوضنا بي مبراة يناتد  وا بريس سنجر مان,0,,
u8Y9W0rFGZU,مش خجلان وانتا لابس البايرن ابلع ولك أسوء مشجع الريال عاملك حرقان,1,1,1
qej8hvq2lZo,اذا برشلونة لقم ٨ توقع اي شي يصير بكورة القدم,0,,
NWsNVfHsuF0,"والله منتخب العراقي عندهم التمريرات ممتازه بس ناقصهم قوة تسديد 
والمعلق خلك محايد",0,,
gvURpU4zGuQ,حقدكم تجاه اليمن وعقدة النقص لديكم تجعلكم تنكرون أن اليمن أصل العرب وابشركم لا يشرفنا تكونوا أصلا منا كيمنيين,1,1,2
qej8hvq2lZo,حرام ما صورت الهدف السادس و صمت المو,0,,
u8Y9W0rFGZU,اين قميص دورتموند قبل ما يخلص,0,,
