Comment,Toxicity,Type,target
استغفر على الالفاظ اللي قلتها واللعان ترا حرام,0,,
حرام ما صورت الهدف السادس و صمت المو,0,,
يسب ه,0,,
الدقيقة ٧١٧ هدي شويه,0,,
بعد هذا المقطع بيوم واحد توفى والدي رحمة الله عليه ترحموله شباب الله يرحم امواتكم,0,,
ارنولد يلعب شطرنج؟,0,,
من كل مقاطع قلوري اكثر حلقه اضحك عليها هذه وًخصيصا من دقيقه,0,,
٧٢١ كل انواع السب ظهرت,0,,
"السلام عليكم
نصيحة يا اخوان
غض البصر واجب",0,,
اليكسندر ارنولد كمان اساسي بلفربول,0,,
"نصيحة من اخ اكبر
لاتشجع مان يونايتد
شجع الرابح
المان ليس فريق ديرتك ولاهو منتخب بلدك ليش تحرق اعصابك",0,,
"ماجوير ياثلاجة ياثور
ه
قتلتني ضحك",1,2,1
هذا الفريق كويس بس دفاعو سيء,1,1,1
انصحك تشجع فريق ثاني,0,,
ولك والله العظيم بحبك بس تبلع تعيب ع برشلونة اجاك الرد,1,1,1
اول مره في حياتي اشوف جلوري يسب وربي عصب من جد,0,,
من المستقبل مانشستر يونايتد يفوز على توتنهام بهاترك من الدون,0,,
والأن رونالدو سجل هاتريك,0,,
و اليوم رونالدو سجل هاتريك,0,,
استغفرالله العظيم واتوب اليه وش اسم المقطع الي ماله داعي اللهم لاتؤاخذنا بما فعل السفهاء منا,0,,
مبروك المليون مشاهده,0,,
المباراة هذي طلعت كفيديو مقترح  قبل مباراة السبت  بثلاثة ايام الله يستر,0,,
لا لسا عنا هيندرسون و اوكسلايد و جيمس ميلنر و جو غوميز عاهات بالفريق,0,,
اذكروا الخالق عز وجل أن الله تعالى وبركاته اللهم صلي وسلم وبارك على سيدنا محمد وعلى آله وصحبه أجمعين وسلم تسليما كثيرا امين يارب العالمين,0,,
لي يشوف ثقتك في بداية المقطع ونت تتكلم عن ركلة الحزاء مراح يصدك صياحك في اخر المقطع,1,1,1
و هنا تم التسفيل في ماقواير,0,,
"ف البدايه يهايط  وبدا يلمح على ميسي 
صياحك طرب والله  بس نحبك",1,1,1
يبوي سب من قلب,0,,
ياخي يطربني صياحك الله يجعلكم من سوء إلى اسوء بحول الله وقوته اللهم امين يارب,1,1,1
جابلك فاران,0,,
من جا بعد ثلاثية الدون,0,,
ألقوم بس لا تحكي عن,1,1,1
انتقمنا منهم,0,,
يا لطيف,0,,
ماقلت ماقلت,0,,
الله يستر هذا المقطع ليش جاني اليوم واليوم مباراتهم,0,,
أنا جاي قبل مباراة اليوم,0,,
نفس الأخطاء من الموسم الماضي لحد الان,0,,
مين اللي جاي بعد الخمسة,0,,
من جاي من حلقة الميمز ه,0,,
جايلك من المستقبل ليفربول اديتكم,0,,
مين جاي بعد فضيحة ليفربول و اليونايتد,0,,
الي جاي بعد فضيحة ليفربول يحط لايك,0,,
كم مرة جلوري قال بالله شقايل لكم ه,0,,
اخ يا عزيز,0,,
قاعد اضحك قبل لااخش الفديو,0,,
ياجلوري ليش تحلف جالس اتابعك بالحمام,0,,
ميسي لدينا لا خوف علينا,0,,
تستاهل تضحك ع برشلونة,0,,
المان يونايتد ما سجل الثاني احتراما لبيكيه,0,,
مرت سنه,0,,
احلى شي اني مشجع توتنهام واتابع هاي العبة راحة اعصاب,0,,
افضل رياكشن ف التاريخ,0,,
جلوري وقتها ما يعرف يزعل انو خسر بنتيجة كبيرة او يفرح انو صار عندو محتوى,0,,
ارنولد يصيح في الزاوية,0,,
عدت المقطع للمره,0,,
اللهم صلي وسلم وبارك على سيدنا ونبينا وحبيبنا ورسولنا محمد ولاإله إلاالله سبحان الله وبحمده سبحان الله العظيم واتوب اليه استغفرالله العظيم واتوب اليه استغفرالله العظيم واتوب اليه استغفرالله العظيم واتوب اليه استغفرالله العظيم واتوب اليه استغفرالله العظيم واتوب اليه,0,,
اسميك جلوري الفاصل ه,0,,
الله يستر عليهم الي ضيعو بطولات على منتخباتهم,0,,
"توتنهام سجل قول 
جلوري بالله ايش قايلكم بالله ايش قايلكم",0,,
نبغى نشوف السادس ياخي,0,,
مين بيتفرج على الفيديو بعد ماجئ رونالدو,0,,
جلوري فصل على الرئيس,0,,
مدري ليش اذا جلوري اذا عصب احسه يقصدني,0,,
القم بس,1,1,1
من جاي من ٢٠٢١ وماغواير صار عم فان دايك المنفوخ,0,,
سق ولد سق,1,1,1
انخرشت شفتها ب المقترحات وحسبتها جديده ذحين,0,,
لا انت تهايط في بداية الفيديو انت وبرونو,0,,
اذا كانك قلتها عشان يركبون عليك ميمز ف حاب اقولك راجع نفسك ي متخلف,1,1,1
اشگايل لكم,0,,
"من كان له تاريخ سيعود حتما سيعود 
عدت بعد عودة رونالدو للمانيو",0,,
ابلع يا جلوري,1,1,1
هاتوا الي بعدو الكم انت والشياطين الخضر,1,1,1
ابلع يا جلوري,1,1,1
هذا احساس اسطوري,0,,
احساس الام,0,,
القم ياجلوري,1,1,1
قلوري بعد كل قول  ايش قايل لكم,0,,
ما يجوز اللعن,0,,
مره تعبانين تمريرات سيئه و دفاع سيء,0,,
ه الله يعينك جلوري ه حرام لايصير بيك شي من وراهم ه يلة هل موسم ان شاء الله المانيو يعود,0,,
يا خي لازم تخلي الفيس كام هي الصغيرة مش المبارات ما,0,,
القم انا برشلوني وفرحان على ردة فعلك يوم علينا يوم عليك,1,1,1
"المقطع  ردة فعل 
المقطع  اش قلتلكم",0,,
"سنة غريبة 

ليفر اكلو  
اليونايتد اكلو 
و السيتي  
وبرشا",0,,
"سنة غريبة 
ليفر اكلو  
اليونايتد اكلو 
و السيتي  
وبرشا",0,,
الي بعدو اجل,0,,
اما ٦,0,,
هياط اول بدايه,0,,
اها يا ليونيل  انت أسطورة,0,,
لما صحبي يسوي مقلب فيا انا,0,,
"اش دخل ميسي 
 عادي الانتقاد دائما على الافضل",0,,
احلى شي انك كنت تطقطق على اللاعبين يلي ضيعوا ركلات جزاء على انديتهم ومنتخباتهم وفالها واخر شي بلعت ستة,1,1,1
حسيت بشعورك لما خسرت البارسا ف,0,,
ردة فعلك,0,,
والله مان يونايتد صاير زبالة يا شيخ,1,1,1
اكثر مقطع ضحكني,0,,
ما عندنا لعب,0,,
لا تفلها وانت تشجع فريق الضحك,0,,
ليفربول عنده ثلاثه انجليز قوميز و ارنولد و هندرسون,1,1,1
من يفرح اولً يبكي اخرً القم,1,1,1
اي هدف ايش قلتلكم,0,,
مسحوب بيكم الأرض,1,1,1
"ياعيال 
ياجماعة الخير
اش كلتلكم",0,,
كافي اش كلتلكم,0,,
في قول,0,,
اختصار المقطع  كايللكم,0,,
ه الكم,1,1,1
جلدكم المترجم ه,1,1,1
مبروك مقدما على  مليون,0,,
شجع مدريد,0,,
لاتسجع اليونايتد,0,,
وبعدها بنص ساعة خسرنا  وفاندايك اتصاب بالرباط الصليبي وتأهلنا لدوري الابطال في اخر جولة,0,,
اذا احد غدرني من ورا  في ببجي,0,,
قدمت الفديو زق خرا,1,2,1
عندنا خمس انجليز في ليفربول للمعلومه,0,,
هم زين ما شاف السادس كان انجلط,0,,
ابلع ال,1,1,1
انت عبارة عن خرا,0,,
الدب الي يشجع اليونايتد,1,2,1
اله يل امباراه احلى مبارات ل يونايتد,0,,
"احد جاء من تويتر؟

الدب اللي يشجع اليونايتد 
آسف جلوري",0,,
من جا من دب يشجع اليونايتد,1,1,1
هدف هاري كين من ركلة جزاء لو شايفة وهدف برنو تمثيل المفروض     وليس    مارسيال اصبح ممثل ماهر يستحق جائزة أوسكار للتمثيل,0,,
والله كل ماضوج اطب عله فيديو نته تسب ماكواير,0,,
اللي بعده اجل ه,0,,
متعيطش بقا ي جلوري,0,,
خل هياطك ف بداية المباراه يفيدك ابلع,1,1,1
القم ي وضيع تطقطق على السيتي هاه ه,1,1,1
و الله أقسم بالله لو أنت تلعب في الأجواء الرهيبة هاذي و تلعب على كل الضغط إلي همّا متحملينو لتصير حتى مانك عارف تلعب حتى تمريرة  صحيحة,0,,
القم يا جلوري لانك في بدايه المقطع حكيت انو برونو يسجل بلنتيات عكس لاعبين ضيعو على منتخباتهم بطولات وكلنا نعرف ايش قصدك وكيف جاي تقلل من واحد تاريخه افضل من تاريخ ناديك بكبره,1,1,1
اكثر مباراة ولعت في جلوري فتشب عن السبب,0,,
ششجع مدريد برفع رااس,0,,
كلاش ميسي,0,,
ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه ه,0,,
جلوري في الدقيقة  هات اللي بعدو,0,,
ياخي الهياط الي فالبداية مشكلة,0,,
شوفتك مذلول ياباشا,1,1,1
الله يعينك بس تخاذل الف,0,,
رهيب وممتاز,0,,
موسم صفري لمنشستر ضحك,0,,
بصراحة يا جلوري إنت قلت إنه ما في مشكلة إذا خسرنا,0,,
الي بعدو و في الاخير ضربوهم ب,0,,
والله بموت,0,,
هندرسون وارلوند,0,,
ديفاعكم   اخاس منا  من  احنا برشلونة  انتا  مسكين  حزنت علىك,0,,
بس سجلو  حلكي حلكي,0,,
"تراك بالغت بردة الفعل
ه",0,,
ع اساس انت الخسران عشان تعصب وتسب,0,,
هات ال لبعدو,0,,
"من يفرح اولا يبكي اخيرا 
والمثال ينطبق على الشيخ جلوري",0,,
كيف حالك الي تدور اللقطة ه خذ خذ,0,,
الصراحة استمتعت بالمباراة الا مشجعين اليونايتد تنكدوا,0,,
مين يحب جلوري يوم يعصب,0,,
ذحين ايش الفايده لو عصب و قال اداره بايخه يعني ذحين الإداره راح يسمعو كلامو ولا يعصب بس عشان مشاهدات,0,,
مافي طوط,0,,
روح العب بدلهم ه معصب بزياده الكوره خرا زي راسك المربع,1,2,1
وهنا انتهت الفرحة,0,,
وش الموقع الي حطيته حتى طلعت لك المبارة,0,,
تستهل و خسر    وثنين ليفر بول معند ارنلد معند قومز,0,,
تم الحسد بنجاح علي ليفربول,0,,
ارنولد يالحبيب,0,,
اها لا تغلط علا ميسي,0,,
آرنولد یبکی فی الزاویه,0,,
اللهم اني شامت,0,,
القم القم  القم,1,1,1
ناديك قوي جدا لدرجة بلع ريمونتادا ب دقيقة,1,1,1
اليوم اليونايتد فاز ٣١ على نفس الخصم و بانتظار ردة فعل جلوري,0,,
ابلع الحين,1,1,1
اللهم صلي وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله,0,,
اللهم صلي وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى,0,,
اللهم صلي وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى,0,,
اللهم صلي وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء,0,,
اللهم صلي وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد,0,,
اللهم صلي وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان الله لا لإله إلى الله محمد رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى آله وصحبه تسليما مشاء الله سبحان,0,,
حسد ليفربول,0,,
من كثر ما انك معصب نسيت تكتم الصوت الي في الدقيقة,0,,
"فَاذكُروني أَذكُركُم 
سبحان الله 
الحمدلله
لا إله إلا الله
سبحان الله وبحمده 
سبحان الله العظيم 
لا حول ولا قوة الا بالله 
اللهم صل وسلم على نبينا محمد 
لا إله إلا أنت سبحانك إني كنت من الظالمين",0,,
ارنولد ؟,0,,
ارنولد ؟,0,,
يبدو جلوري غاضب بعد أن ميسي جلد فريقه,0,,
ابلع يا جلوري عشنك تخوثت على برشلونة لما خسرو من البايرن القم بس ٦١,1,1,1
ماحد غصبك تشجع الكفار,0,,
فاتك السادس,0,,
والله المقطع يبغالي اسوي مليون ميمز,0,,
ابلع بس ه,1,1,1
عندك اطفال انتبه بس,0,,
الهم صل على محمد وال محمد وال بيته الطيبين الطاهرين وعجل فرجهم والعن عدوهم من الجن والانس من الاولين والاخرين امين يارب العالمين ارحمنا واقضي حوائجنا جميعا وجميع حوائج المؤمنين والمسلمين امين يارب العالمين ادعولي بنجاح,0,,
هياطك ياجلوري ماخلاك تكمل ه معاك اخوك المدريدي عوافي هاردلك,0,,
قارن بين  و ه,0,,
الى جاي من التيك توك ؟,0,,
مت ضحك حليله بوقبا,0,,
غضبان في هذه اللقطة و انا أضحك عليه,0,,
لا يجوز,0,,
انا متحمس واخر شيء انتبه ان المباراه قبل خمسه شهور,0,,
ئاسبحان الله بلامس كنت تضحك على برشلونة بلخسارة  واليوم تخسر ستة واحد من نادي الدجاج,1,1,1
ارنولد انا سعودي,0,,
ماغواير ياثور ياثلاجة يابو راس مربع والله قتلتني من الضحك,1,2,1
ياخي ما يمديني اشوف المباراة مغطية,0,,
هنا ظهر عبد العزيز على حقيقته,0,,
اشيك علئ الكورهاشيك علئ جلوري,0,,
كمان هندرسون اسكتلاندي مو انجليزي,0,,
حتى ينضرب من الشعلة ولا لا,0,,
الي داخل عشان ردات فعل قلوري,0,,
حرام اللعن على الاقل حط طوط,0,,
يوم جديد ورياكشن جديد,0,,
اول ثالث دقايق عصب على طول بيدخل موسوعه جينيس اسرع عصبيه,0,,
سبحان الله مغير الحوال كان يضحك على برشلونه ضد باير شوف كيف عصب ضد توتنهام,0,,
"يا بو رأس مربعة
ه",1,1,1
وانا مثلك ياجلوري راح انجلط بسبب برشلونة,0,,
جلوري يسب,0,,
احسن القم,1,1,1
والله اني اشجع الاهلي السعودي وجاني كل الأمراض بسبب ايش علشان الدفاع العفن الي جي الاداره,1,1,1
ابلعو يا يونايتد,1,1,1
غلوري يعتبر ماغواير ابو لهب ه,0,,
هاذا رد مورينيو,0,,
استا توجععا,0,,
هات الي بعدو,0,,
مو واضح الفيديو,0,,
مثلنا ولا شي,1,1,1
ه جلوري خلص الفديو بس يكول بل لله ايش كتلكم,0,,
الي حرقو علي موت ساشا,0,,
ترا إحنا مو شايفين إيش قاعد تقول,0,,
يع وش فيك تتصنع يعع وربي غثيث,1,1,1
ه والله اول مرة اضحك كما هك,0,,
صياحك طرب,1,1,1
خلطوكم خلط,1,1,1
كم مرة قال كلمة يا عيال,0,,
و  انجليز وفي التشكيله الاساسيه,0,,
جلوري هات الي بعدو يشيخ       توتنهام ياشيخ,0,,
المترجم رد عليك مثل ما رديت عليه من قبل,0,,
تضحك علينا ٨تبلع ٦وبعد بتوتنهامامزح,0,,
تتذكر لما قلت على برشلونة خلطوهم بالثمانية وضحكت على برشلونة هاهم خلطوكم بالسته,0,,
والله ريمونتادا,0,,
انا اشجع توتنهام القم ستة,1,1,1
"هات الي بعدو 
هات ال ستة الي بعدو",0,,
توتنهامي مر من هنا,0,,
الله يساعدنه على برشلونه,0,,
هاي اخرت الشماتة في برشلونة,0,,
اللهم صل وسلم على سيدنا محمد وعلى آله وصحبه أجمعين,0,,
اعتقد انا الوحيد الي تابع المقطع الف مرها من كثر الضحك,0,,
هذا كاي,0,,
و الله أنتو قوين,0,,
أحزنت عليك,0,,
"اشجع نادي و روح 
اسب النادي و كل شى و علاقه في النادي",0,,
ادري ان كلكم جيتوا عشان هاللقطة,0,,
يا اخي احنا خسرنا   من باير وتابعت المباراه كامله,0,,
ترى في الدقيقه  الا في موبس في هندرسون في الكسند ارنولد انقليزي,0,,
كويس بس كمل المباراة وشاف انهم لقمو السادس,0,,
هنا جلوري فصل ه,0,,
صوتك يشبه البندا في  الدبباه,0,,
فصل الآدمي,0,,
ياخي ولا انت بتجعلني اضحك,0,,
ارنولد و غوميز مو منفوخين,0,,
بعيداً عن كل شيء افضل شيء ذاك الولد ليفربول متت ضحك,0,,
ه خلاص م اقد ر,0,,
احسان لمان يضحك عله برشلونه الحين نطقطق على ه,0,,
انا مشجع توتنهام يا غلوري يعني انا و انت يا جلوري بيناننة منافسة و انا فزت بها اليونايتد لديه لاعبين معفنينن يجب على الفارق ان يتخلص منها و شكرا على الفوز يا توتنهام انا احب سون و احبك ايضا انت يا جلوري سون  جلوري,1,1,1
القم يازق,1,2,1
"يا جلوري 
انت قلت ليفربول ماعندهم لاعبين انجليز 
وين ارلوند وجو قومز",0,,
انتم تلقمون وليفربول لقم,1,1,1
حطلها تسريع اسرع بمرتين,0,,
"اجلد

والله قوية",0,,
عندهم ارنولد,0,,
ه انا اشجع توتنهام,0,,
تذكر لمن كلت البايرن خلطوهم على برشلونه بمباراة   ونتو خسرتوا    خلوطوكم خلط بس ميخالف ابقه اتابعك,0,,
دفاع فاشل اكيد يتلقه هيج خساره ثقيلة,0,,
تضحك على برشلونة اببللع,1,1,1
ارنولد انغليزب لكن ممتاز مو منفوخ,0,,
لو شفت الهدف السادس كان انفجرت,0,,
"هندرسون أفضل لاعب في الدوري الإنجليزي  
وتقول منفوخ",0,,
صلوا على الحبيب المصطفى صلى الله عليه وسلم,0,,
القم القم بس  ه,1,1,1
ذا الولد ليفربول,0,,
"انا ليفربولي و هندرسن لاعب مر اسطووري و مهم بريدز و عنده لعب جميل و الكانتارا مارح ياخذ الا مكان احد لحد ما يرجع من الاصابة
متابعك من",0,,
برونو الله عليكم يعيال,0,,
"قبل 

بعد",0,,
شجع مدريد وخلك ملكي ولن تشعر ب الغرام والجلطه هلا مدريد,0,,
تره جلوي انت نسيت ارنولد لمن جنت تحجي عل الانكليز بس طبعا متكدرد تحجي عليه لان الاعب ممنفوخ ارنولد والكل يدرون ارنولد افضل ضهير ايمن بل عالم,0,,
قلب مارادونا في مباراة الارجنتين ونيجيريا,0,,
بالانتي مع البدايه والسادس مع النهايه,0,,
ابو راس مربع خله مستطيل احسن,1,1,1
الفرق بين الدقيقه  والدقيقه,0,,
نت تتمسخر  علا   لعبت برشلونه  ضد بايرن ٢    ٨     بس من  تتكلم لازم تثكر   ١    ٦,0,,
شذنبنا اذا لعيبتنا مهاريين,0,,
ه امداكً ومده فريقك الزنك مثلك,0,,
استهبال ولا استهبال,0,,
تضحك على برشلونه اجل ها,0,,
الدبيبة ذا يقصد ميسي يوم يقول ضيعوا بطولات مع منتخباتهم بسبب البلنتيات,1,1,1
اللهم صلٌ وسلم على سيدنا محمد وعلى آله وصحبه وسلم تسليماً كثيراً,0,,
الله عليكم وبل اخير جاب ام العيد,0,,
خلطوكم خلط,1,1,1
اللي بعده سته,0,,
الي بعدو اجل ها ولاقمين ٦,0,,
الدقيقة  قلوري معصب وأنا ميت ضحك,0,,
ًهـهـه  الله يسعدك,0,,
فريقكم حلو بس الدفاع خرا,1,1,1
ابلع ابو بلنتي,1,1,1
سبحان الله الحمد لله لا اله إلا الله الله أكبر لا اله إلا انت سبحانك إني كنت من الظالمين,0,,
والله اني زعلت عليك يا جلوري,0,,
صياحك طرب,1,1,1
ول       كثير,0,,
استح على وجهك بس,0,,
ماتلعن كتير حرام لعنة,0,,
ابلع تحجي ع برشلونه يالعار,1,1,1
احتفالية للبيع,0,,
اللقطة الي الكل يبغاها,0,,
ابي اغنية الباكقروند اول بداية المقطع,0,,
حط السرعة  و اسمع الشعر,0,,
"جلوري في بداية المقطع الله عليكم
جلوري في نهاية المقطع 
امزح معك جلوري والله احس فيك",0,,
من جاي مت تك توك يصف جنبي,0,,
"ماقواير اغلى مدافع في العالم
واضعف واعفن مدافع في الكون",0,,
جماهير برشلونة  شتقصد حبي,0,,
دفاعكم أفضل دفاع في ألعالم لأنه ينافس ليفربول و برشلونة أسؤدفاع,0,,
نيني من نحن في حاجة إلى نزاهة الانتخابات,0,,
ه خرا,0,,
ارنولد يقشر بصل,0,,
يا ساتر هد,0,,
اخ بطني بطني,0,,
بدون ماتقول ان فريقك راح يخسر هو راح يخسر كذا ولا كذا فريق وضيع,1,1,1
تحمسس زيادة هات ليبعدو بلعوكم ٦,1,1,1
الدقيقة ١ هات الي بعده بعده بي دقيقتين ايش هاذا يامقو ياثلاجة,0,,
ابلع ابلعع,1,1,1
ارنولد اساسي في ليفربول,0,,
الي جاي عشان اللقطه هذي,0,,
ابي اغنية البداية,0,,
"البدايه  ياعمري ياحبيبي يا اليونايتد الاسطوري
النهايه  اللّـہ ياخذكم اللّـہ يحرق اليونايتد",0,,
يعيال يموت,0,,
وش تقول علينا ياقلوري انجلدنا ٨ من دفاعنا الزفت بس الله يعدي ذا الموسم على خير,1,1,1
ي ابو راس مربعة ه,1,1,1
ه اخسر,0,,
ه  ٩,0,,
اللهم صل وسلم على سيدنا محمد وعلى آله وصحبه أجمعين,0,,
ه تتذكر يوم طقطق على برشلونة يوم خسر من البايرن هيا القم,1,1,1
ابلع يا لخاس,1,1,1
له له له يا جلوري لسا ما كملت ال ٦ جوال  والله انا منشستراوي زيك المباراة هاي عبارة عن جلطة للمنشستراويين  اقسم بالله فريق يرفع الضغط,0,,
سير اليكس كان في المدرجات,0,,
طيب ليش تشجع اليونايتد,0,,
كل شوي ادخل اشوف الفيديو علشان اضحك,0,,
ستة واحد انتهت انا احب ريال مدريد وبايرن ميونخ وايضا مان يونايتد الله يعوضك,0,,
"تم تسجيل هذه اللقطة كـ ميمز ، رياكشن",0,,
شقكم مورينيو ه,1,1,1
سحبان الله وبحمده سبحان الله العظيم أستغفر الله الذي لااله الا هو الحي القيوم وأتوب اليه عدد خلقه ورضى نفسه وزنة عرشه ومداد كلماته,0,,
اللهم صلٌ وسلم على سيدنا وحبيبنا محمد وعلى آله وصحبه وسلم تسليماً كثيراً حسبي الله على كل من اسآء لنبينا الكريم اللهم أهلكهم في أجسادهم يارب العالمين,0,,
واللهي كل سبة قالها حق,0,,
طيب ليش تشجعه,0,,
هات الي بعدو ها ه هني الي بلعوكم  والله زعلت عليك انقصفت الجبه,1,1,1
يبدو جلوري غاضبًا عبر,0,,
تذكر يوم الي قلت مهزلة  على فضية برشلونة امام بايرن و الان صارت مانشستر يونايتد مهزلة امام توتنهةم,1,1,1
ماكنت تقدر تسوي ميوت ؟شي غريب ولله,0,,
شلون السته اكلكم سون وهركين,0,,
وين راح الضحك,0,,
يا جلوري ترا صح كلامك بس عنتهم تريب ألسانتر أرنولة,0,,
استغفر الله العظيم سبحان كل ذنب عظيم,0,,
للمرة العاشرة أعيد اللقطة,0,,
اللهم صل و سلم وبارك على سيدنا محمد وعلى آله وصحبه أجمعين و,0,,
شبيك بس تكو كايلكم شبيك,0,,
ابلع ينوب يونايتت جيس لبن,1,1,1
سون ياقليل الادب,1,1,1
ثلاثة فضايح في الدوري الإنجليزي الممتاز مان سيتي خمسة مان يونايتد ستة ليفربول سبعة,0,,
يابو ديد مثلث,1,2,1
انتظرت ردة فعلك بفارغ الصبر,0,,
ابلع احسن تطقطق علي برشلونه ها,1,1,1
تضحك فل بداية تنجلد فل نهاية ه,0,,
عود يحشش على ليو اسمه بتاريخ ناديك,0,,
القم بس والبلنتي حقه زرقه لاهنت,1,1,1
اللقطة الي يدورها الكل,0,,
في صغار يتابعوك لييش ما تسوي طوط عيب ولله حط صوت يحجب السب الله يهديك,0,,
جلوري يقصد مسي في الدقيقة,0,,
يابو ٦,0,,
ياعيال وربي يوم قال زق ولد زق انت عباره عن خرا متت ضحك,1,1,1
هندرسون و أرنولد,0,,
الله يعينك في الابطال,0,,
والله انا مع اني مدريدي اعرف انو مأكلكم جزام بس هدي  خليك مدريدي,1,1,1
ليه الشاشه ماهي واضحه بالفيديو,0,,
يا فلاته هع,1,2,1
ليفربول عدهم هندرسون انكليزي والكسندر آرنولد انكليزي,0,,
